,Data,Nível Caí (cm),Nível Jacuí (cm),Nível Sinos (cm),Nível Gravataí (cm),Nível Guaíba (cm),HORÁRIO (mm),HORARIA (°C),UMIDADE RELATIVA DO AR,VENTO
0,2017-11-14 12:00:00,79.0,156.0,282.0,247.0,114.0,1010.0,8.0,6.0,8.0
1,2017-11-14 13:00:00,77.0,156.0,280.0,246.0,114.0,1010.0,5.0,17.0,13.0
2,2017-11-14 14:00:00,76.0,156.0,279.0,246.0,114.0,1010.0,5.0,16.0,14.0
3,2017-11-14 15:00:00,76.0,156.0,277.0,246.0,114.0,1009.0,2.0,6.0,9.0
4,2017-11-14 16:00:00,76.0,157.0,274.0,245.0,114.0,1008.0,4.0,3.0,7.0
5,2017-11-14 17:00:00,78.0,158.0,272.0,245.0,114.0,1007.0,6.0,3.0,50.0
6,2017-11-14 18:00:00,79.0,160.0,269.0,244.0,114.0,1006.0,1.0,6.0,8.0
7,2017-11-14 19:00:00,80.0,161.0,267.0,244.0,114.0,1006.0,6.0,8.0,4.0
8,2017-11-14 20:00:00,80.0,160.0,265.0,244.0,114.0,1006.0,27.0,18.0,6.0
9,2017-11-14 21:00:00,80.0,159.0,263.0,243.0,113.0,1006.0,7.0,4.0,8.0
10,2017-11-14 22:00:00,81.0,157.0,261.0,243.0,113.0,1006.0,1.0,6.0,7.0
11,2017-11-14 23:00:00,81.0,156.0,260.0,243.0,112.82051282051282,1006.0,21.0,17.0,17.0
12,2017-11-15 00:00:00,81.0,153.0,258.0,243.0,112.64102564102564,1006.0,20.0,17.0,17.0
13,2017-11-15 01:00:00,81.0,151.0,257.0,242.0,112.46153846153847,1006.0,20.0,17.0,17.0
14,2017-11-15 02:00:00,81.0,149.0,255.0,242.0,112.28205128205128,1006.0,20.0,17.0,85.0
15,2017-11-15 03:00:00,82.0,146.0,253.0,242.0,112.1025641025641,1005.0,19.0,17.0,17.0
16,2017-11-15 04:00:00,82.0,144.0,252.0,242.0,111.92307692307692,1005.0,17.0,88.0,86.0
17,2017-11-15 05:00:00,82.0,142.0,250.0,242.0,111.74358974358974,1004.0,3.0,9.0,4.0
18,2017-11-15 06:00:00,82.0,139.0,249.0,242.0,111.56410256410257,1004.0,19.0,16.0,15.0
